DATE,VALUE
1955-01-01,6.76378772112383
1955-04-01,6.86784599375650
1955-07-01,6.86784599375650
1955-10-01,6.97190426638918
1956-01-01,6.97190426638918
1956-04-01,7.28407908428720
1956-07-01,7.38813735691987
1956-10-01,7.38813735691987
1957-01-01,7.38813735691987
1957-04-01,7.49219562955255
1957-07-01,7.49219562955255
1957-10-01,7.49219562955255
1958-01-01,7.49219562955255
1958-04-01,7.49219562955255
1958-07-01,7.49219562955255
1958-10-01,7.59625390218522
1959-01-01,7.59625390218522
1959-04-01,7.59625390218522
1959-07-01,7.70031217481790
1959-10-01,7.80437044745057
1960-01-01,7.80437044745057
1960-04-01,7.90842872008325
1960-07-01,8.01248699271592
1960-10-01,8.11654526534859
1961-01-01,8.11654526534859
1961-04-01,8.22060353798127
1961-07-01,8.11654526534859
1961-10-01,8.11654526534859
1962-01-01,8.11654526534859
1962-04-01,8.11654526534859
1962-07-01,8.11654526534859
1962-10-01,8.11654526534859
1963-01-01,8.11654526534859
1963-04-01,8.11654526534859
1963-07-01,8.22060353798127
1963-10-01,8.22060353798127
1964-01-01,8.32466181061394
1964-04-01,8.32466181061394
1964-07-01,8.42872008324662
1964-10-01,8.53277835587929
1965-01-01,8.53277835587929
1965-04-01,8.63683662851197
1965-07-01,8.74089490114464
1965-10-01,8.84495317377731
1966-01-01,8.94901144640999
1966-04-01,8.94901144640999
1966-07-01,8.94901144640999
1966-10-01,9.05306971904266
1967-01-01,9.15712799167534
1967-04-01,9.26118626430801
1967-07-01,9.36524453694069
1967-10-01,9.36524453694069
1968-01-01,9.46930280957336
1968-04-01,9.46930280957336
1968-07-01,9.57336108220603
1968-10-01,9.57336108220603
1969-01-01,9.78147762747138
1969-04-01,9.78147762747138
1969-07-01,9.88553590010406
1969-10-01,9.88553590010406
1970-01-01,9.98959417273673
1970-04-01,10.09365244536940
1970-07-01,10.19771071800210
1970-10-01,10.40582726326740
1971-01-01,10.50988553590010
1971-04-01,10.61394380853280
1971-07-01,10.92611862643080
1971-10-01,11.13423517169610
1972-01-01,11.23829344432880
1972-04-01,11.34235171696150
1972-07-01,11.55046826222680
1972-10-01,11.65452653485950
1973-01-01,11.86264308012490
1973-04-01,12.27887617065560
1973-07-01,12.69510926118630
1973-10-01,13.11134235171700
1974-01-01,13.52757544224770
1974-04-01,14.04786680541100
1974-07-01,14.77627471383970
1974-10-01,15.29656607700310
1975-01-01,15.92091571279920
1975-04-01,16.44120707596250
1975-07-01,16.54526534859520
1975-10-01,17.48178980228930
1976-01-01,18.00208116545270
1976-04-01,18.41831425598330
1976-07-01,18.83454734651400
1976-10-01,19.97918834547350
1977-01-01,20.39542143600420
1977-04-01,20.91571279916750
1977-07-01,21.33194588969820
1977-10-01,21.85223725286160
1978-01-01,22.16441207075960
1978-04-01,22.58064516129030
1978-07-01,22.99687825182100
1978-10-01,23.51716961498440
1979-01-01,23.93340270551510
1979-04-01,24.55775234131110
1979-07-01,25.18210197710720
1979-10-01,25.91050988553590
1980-01-01,26.43080124869930
1980-04-01,27.26326742976070
1980-07-01,27.67950052029140
1980-10-01,28.30385015608740
1981-01-01,28.92819979188350
1981-04-01,29.55254942767950
1981-07-01,30.17689906347550
1981-10-01,31.42559833506760
1982-01-01,32.04994797086370
1982-04-01,32.77835587929240
1982-07-01,33.92299687825180
1982-10-01,34.96357960457860
1983-01-01,35.69198751300730
1983-04-01,36.42039542143600
1983-07-01,37.04474505723210
1983-10-01,37.98126951092610
1984-01-01,37.77315296566080
1984-04-01,37.87721123829340
1984-07-01,38.39750260145680
1984-10-01,38.91779396462020
1985-01-01,39.43808532778360
1985-04-01,40.37460978147760
1985-07-01,41.31113423517170
1985-10-01,42.14360041623310
1986-01-01,43.08012486992720
1986-04-01,43.80853277835590
1986-07-01,44.95317377731530
1986-10-01,46.20187304890740
1987-01-01,47.13839750260140
1987-04-01,47.86680541103020
1987-07-01,48.69927159209160
1987-10-01,49.53173777315300
1988-01-01,50.36420395421440
1988-04-01,51.30072840790840
1988-07-01,52.23725286160250
1988-10-01,53.27783558792920
1989-01-01,53.79812695109260
1989-04-01,55.15088449531740
1989-07-01,56.39958376690950
1989-10-01,57.44016649323620
1990-01-01,58.48074921956300
1990-04-01,59.41727367325700
1990-07-01,59.83350676378770
1990-10-01,61.39438085327780
1991-01-01,61.29032258064520
1991-04-01,61.39438085327780
1991-07-01,61.70655567117590
1991-10-01,62.33090530697190
1992-01-01,62.33090530697190
1992-04-01,62.12278876170660
1992-07-01,62.22684703433920
1992-10-01,62.53902185223720
1993-01-01,63.05931321540060
1993-04-01,63.26742976066600
1993-07-01,63.57960457856400
1993-10-01,63.68366285119670
1994-01-01,63.99583766909470
1994-04-01,64.41207075962540
1994-07-01,64.82830385015610
1994-10-01,65.34859521331940
1995-01-01,66.38917793964620
1995-04-01,67.32570239334030
1995-07-01,68.15816857440170
1995-10-01,68.67845993756500
1996-01-01,68.88657648283040
1996-04-01,69.40686784599380
1996-07-01,69.61498439125910
1996-10-01,69.71904266389180
1997-01-01,69.82310093652440
1997-04-01,69.61498439125910
1997-07-01,69.30280957336110
1997-10-01,69.51092611862640
1998-01-01,69.71904266389180
1998-04-01,70.13527575442250
1998-07-01,70.23933402705510
1998-10-01,70.55150884495320
1999-01-01,70.55150884495320
1999-04-01,70.86368366285120
1999-07-01,71.48803329864720
1999-10-01,71.90426638917790
2000-01-01,72.52861602497400
2000-04-01,73.04890738813740
2000-07-01,75.85848074921960
2000-10-01,76.06659729448490
2001-01-01,76.89906347554630
2001-04-01,77.52341311134230
2001-07-01,77.73152965660770
2001-10-01,78.45993756503640
2002-01-01,79.18834547346510
2002-04-01,79.70863683662850
2002-07-01,80.22892819979190
2002-10-01,80.74921956295520
2003-01-01,81.78980228928200
2003-04-01,81.78980228928200
2003-07-01,82.31009365244540
2003-10-01,82.72632674297610
2004-01-01,83.45473465140480
2004-04-01,83.87096774193550
2004-07-01,84.18314255983350
2004-10-01,84.80749219562960
2005-01-01,85.43184183142560
2005-04-01,85.95213319458900
2005-07-01,86.78459937565040
2005-10-01,87.20083246618110
2006-01-01,87.92924037460980
2006-04-01,89.38605619146720
2006-07-01,90.21852237252860
2006-10-01,90.11446409989590
2007-01-01,90.11446409989590
2007-04-01,91.25910509885540
2007-07-01,91.88345473465140
2007-10-01,92.71592091571280
2008-01-01,93.96462018730490
2008-04-01,95.31737773152960
2008-07-01,96.46201873048910
2008-10-01,96.14984391259100
2009-01-01,96.25390218522370
2009-04-01,96.67013527575440
2009-07-01,97.60665972944850
2009-10-01,98.12695109261180
2010-01-01,99.06347554630590
2010-04-01,99.68782518210200
2010-07-01,100.41623309053100
2010-10-01,100.83246618106100
2011-01-01,102.28928199791900
2011-04-01,103.22580645161300
2011-07-01,103.85015608740900
2011-10-01,103.85015608740900
2012-01-01,103.95421436004200
2012-04-01,104.47450572320500
2012-07-01,105.93132154006200
2012-10-01,106.13943808532800
2013-01-01,106.55567117585800
2013-04-01,106.97190426638900
2013-07-01,108.22060353798100
2013-10-01,109.05306971904300
